,OOR_ID,Link,Agency,County,Officer,Phone,Email1,Email2,website,address,type,subtype,county,municipality,school_district,filepath
3225,3351.0,https://www.openrecords.pa.gov/RTKL/AOROInfo.cfm?id=3351,Southern Huntingdon County School District,Huntingdon,LuAnne Keebaugh,814-447-5529,lkeebaugh@shcsd.org,,http://shcsd.org,"10339 Pogue Road , Three Springs, PA 17264",Local,School District,Huntingdon,,,c:\Users\myles\OneDrive\Floppy Disc Photos 2019\Documents\RTK-Project\SchoolRTK\RTK_3351_Southern_Huntingdon_County_School_District.pdf
3226,3354.0,https://www.openrecords.pa.gov/RTKL/AOROInfo.cfm?id=3354,Blairsville-Saltsburg School District,Indiana,Jeffrey T. Soles,724-459-5500,solesjeff@b-ssd.org,,http://www.b-ssd.org,"102 School Lane , Blairsville, PA 15717",Local,School District,Indiana,Burrell Twp,Blairsville-Saltsburg School District,c:\Users\myles\OneDrive\Floppy Disc Photos 2019\Documents\RTK-Project\SchoolRTK\RTK_3354_Blairsville-Saltsburg_School_District.pdf
3227,3355.0,https://www.openrecords.pa.gov/RTKL/AOROInfo.cfm?id=3355,Homer-Center School District,Indiana,Gregory K. Cessna,724-479-3601,gcessna@homercenter.org,,http://www.homercenter.org/,"65 Wildcat Lane , Homer City, PA 15748",Local,School District,Indiana,Homer City Boro,Homer-Center School District,c:\Users\myles\OneDrive\Floppy Disc Photos 2019\Documents\RTK-Project\SchoolRTK\RTK_3355_Homer-Center_School_District.pdf
3228,3356.0,https://www.openrecords.pa.gov/RTKL/AOROInfo.cfm?id=3356,Indiana Area School District,Indiana,Anise M. Markle,724-463-8713,amarkle@iasd.cc,,http://www.iasd.cc,"501 East Pike , Indiana, PA 15701",Local,School District,Indiana,,,c:\Users\myles\OneDrive\Floppy Disc Photos 2019\Documents\RTK-Project\SchoolRTK\RTK_3356_Indiana_Area_School_District.pdf
3230,3358.0,https://www.openrecords.pa.gov/RTKL/AOROInfo.cfm?id=3358,Marion Center Area School District,Indiana,Richard A. Martini,724-397-5551,RTKrequest@mcasd.net,,http://www.mcasd.net,"22820 Route 403 Hwy N , Marion Center, PA 15759",Local,School District,Indiana,Marion Center Borough,Marion Center Area School District,c:\Users\myles\OneDrive\Floppy Disc Photos 2019\Documents\RTK-Project\SchoolRTK\RTK_3358_Marion_Center_Area_School_District.pdf
3231,3359.0,https://www.openrecords.pa.gov/RTKL/AOROInfo.cfm?id=3359,Penns Manor Area School District,Indiana,Joshua Muscatello,724-254-2666,muscatjo@pennsmanor.org,,http://www.pennsmanor.org,"6003 Route 553 Hwy , Clymer, PA 15728",Local,School District,Indiana,,Penns Manor Area School District,c:\Users\myles\OneDrive\Floppy Disc Photos 2019\Documents\RTK-Project\SchoolRTK\RTK_3359_Penns_Manor_Area_School_District.pdf
3232,3360.0,https://www.openrecords.pa.gov/RTKL/AOROInfo.cfm?id=3360,Purchase Line School District,Indiana,David E. London,724-254-4312,londond@plsd.k12.pa.us,,http://www.plsd.k12.pa.us,"16559 Route 286 Hwy E , Commodore, PA 15729",Local,School District,Indiana,Green Twp,Purchase Line School District,c:\Users\myles\OneDrive\Floppy Disc Photos 2019\Documents\RTK-Project\SchoolRTK\RTK_3360_Purchase_Line_School_District.pdf
3233,3361.0,https://www.openrecords.pa.gov/RTKL/AOROInfo.cfm?id=3361,United School District,Indiana,Thomas Kalinyak,814-446-5615,tkalinyak@unitedsd.net,,http://www.unitedsd.net,"10780 Route 56 Highway East , Armagh, PA 15920",Local,School District,Indiana,East Whiteland Twp,United School District,c:\Users\myles\OneDrive\Floppy Disc Photos 2019\Documents\RTK-Project\SchoolRTK\RTK_3361_United_School_District.pdf
3234,3362.0,https://www.openrecords.pa.gov/RTKL/AOROInfo.cfm?id=3362,Brockway Area School District,Jefferson,Laurie Piccirillo,814-265-8411,lpiccirillo@brockway.k12.pa.us,,http://www.brockway.k12.pa.us,"40 North Street , Brockway, PA 15824",Local,School District,Jefferson,,,c:\Users\myles\OneDrive\Floppy Disc Photos 2019\Documents\RTK-Project\SchoolRTK\RTK_3362_Brockway_Area_School_District.pdf
3235,3363.0,https://www.openrecords.pa.gov/RTKL/AOROInfo.cfm?id=3363,Brookville Area School District,Jefferson,Cathy Steiner,814-849-1100,csteiner@basd.us,,http://www.basd.us,"104 Jenks Street , PO Box 479 , Brookville, PA 15825",Local,School District,Jefferson,Brookville Boro,Brookville Area School District,c:\Users\myles\OneDrive\Floppy Disc Photos 2019\Documents\RTK-Project\SchoolRTK\RTK_3363_Brookville_Area_School_District.pdf
3237,3365.0,https://www.openrecords.pa.gov/RTKL/AOROInfo.cfm?id=3365,Punxsutawney Area School District,Jefferson,Dr. Thomas Lesniewski,814-938-5151,openrecordsofficer@punxsy.k12.pa.us,,http://www.punxsy.k12.pa.us,"300 Center Street , Punxsutawney, PA 15767",Local,School District,Jefferson,Punxsutawney Boro,Punxsutawney Area School District,c:\Users\myles\OneDrive\Floppy Disc Photos 2019\Documents\RTK-Project\SchoolRTK\RTK_3365_Punxsutawney_Area_School_District.pdf
3238,3366.0,https://www.openrecords.pa.gov/RTKL/AOROInfo.cfm?id=3366,Juniata County School District,Juniata,,717-436-2111,rmeily@jcsdk12.org,,http://www.jcsdk12.org/,"146 Weatherby Way , Mifflintown, PA 17059",Local,School District,Juniata,,,c:\Users\myles\OneDrive\Floppy Disc Photos 2019\Documents\RTK-Project\SchoolRTK\RTK_3366_Juniata_County_School_District.pdf
3239,3367.0,https://www.openrecords.pa.gov/RTKL/AOROInfo.cfm?id=3367,Abington Heights School District,Lackawanna,,570-586-2511,,,http://www.ahsd.org,"200 E Grove Street , Clarks Summit, PA 18411",Local,School District,Lackawanna,,,c:\Users\myles\OneDrive\Floppy Disc Photos 2019\Documents\RTK-Project\SchoolRTK\RTK_3367_Abington_Heights_School_District.pdf
3240,3368.0,https://www.openrecords.pa.gov/RTKL/AOROInfo.cfm?id=3368,Carbondale Area School District,Lackawanna,Faith Ann Farber,844-330-2273,faith.farber@carbondalearea.org,,http://www.carbondalearea.org,"101 Brooklyn Street , Carbondale, PA 18407",Local,School District,Lackawanna,Carbondale City,Carbondale Area School District,c:\Users\myles\OneDrive\Floppy Disc Photos 2019\Documents\RTK-Project\SchoolRTK\RTK_3368_Carbondale_Area_School_District.pdf
3242,3370.0,https://www.openrecords.pa.gov/RTKL/AOROInfo.cfm?id=3370,Dunmore School District,Lackawanna,Kelly Byron,570-343-2110,byronk@dunmoreschooldistrict.net,,http://www.dunmoreschooldistrict.net/,"300 W. Warren Street , Dunmore, PA 18512",Local,School District,Lackawanna,Dunmore Boro,Dunmore School District,c:\Users\myles\OneDrive\Floppy Disc Photos 2019\Documents\RTK-Project\SchoolRTK\RTK_3370_Dunmore_School_District.pdf
3244,3372.0,https://www.openrecords.pa.gov/RTKL/AOROInfo.cfm?id=3372,Lakeland School District,Lackawanna,Joseph Caputo,570-254-9485,jcaputo@lakelandsd.org,,http://www.lakelandsd.org/,"1355 Lakeland Drive , Scott Township, PA 18433",Local,School District,Lackawanna,,,c:\Users\myles\OneDrive\Floppy Disc Photos 2019\Documents\RTK-Project\SchoolRTK\RTK_3372_Lakeland_School_District.pdf
3245,3373.0,https://www.openrecords.pa.gov/RTKL/AOROInfo.cfm?id=3373,Mid Valley School District,Lackawanna,Patrick J. Sheehan,570-307-1108,sheehanp@mvsd.us,,http://www.mvsd.us/,"52 Underwood Rd , Throop, PA 18512",Local,School District,Lackawanna,,,c:\Users\myles\OneDrive\Floppy Disc Photos 2019\Documents\RTK-Project\SchoolRTK\RTK_3373_Mid_Valley_School_District.pdf
3246,3374.0,https://www.openrecords.pa.gov/RTKL/AOROInfo.cfm?id=3374,North Pocono School District,Lackawanna,Thomas J. McIntyre,570-842-7659,openrecordsofficer@npsd.org,tmcintyre@npsd.org,http://www.npsd.org,"701 Church Street , Moscow, PA 18444",Local,School District,Lackawanna,Moscow Boro,North Pocono School District,c:\Users\myles\OneDrive\Floppy Disc Photos 2019\Documents\RTK-Project\SchoolRTK\RTK_3374_North_Pocono_School_District.pdf
3247,3375.0,https://www.openrecords.pa.gov/RTKL/AOROInfo.cfm?id=3375,Old Forge School District,Lackawanna,Brian Rinaldi,570-457-6721,brian.rinaldi@ofsd.cc,,http://www.ofsd.cc,"300 Marion Street , Old Forge, PA 18518",Local,School District,Lackawanna,Old Forge Boro,Old Forge School District,c:\Users\myles\OneDrive\Floppy Disc Photos 2019\Documents\RTK-Project\SchoolRTK\RTK_3375_Old_Forge_School_District.pdf
3248,3376.0,https://www.openrecords.pa.gov/RTKL/AOROInfo.cfm?id=3376,Riverside School District,Lackawanna,,570-562-2121,riverssd@riversidesd.com,,http://www.riversidesd.com,"300 Davis St , Taylor, PA 18517",Local,School District,Lackawanna,,,c:\Users\myles\OneDrive\Floppy Disc Photos 2019\Documents\RTK-Project\SchoolRTK\RTK_3376_Riverside_School_District.pdf
3249,3377.0,https://www.openrecords.pa.gov/RTKL/AOROInfo.cfm?id=3377,Scranton School District,Lackawanna,Robert Gentilezza,570-348-3400,Robert.gentilezza@ssdedu.org,,http://www.scrsd.org/,"425 N Washington Ave , Scranton, PA 18503",Local,School District,Lackawanna,,,c:\Users\myles\OneDrive\Floppy Disc Photos 2019\Documents\RTK-Project\SchoolRTK\RTK_3377_Scranton_School_District.pdf
3250,3378.0,https://www.openrecords.pa.gov/RTKL/AOROInfo.cfm?id=3378,Valley View School District,Lackawanna,Dr. Michael J. Boccella,570-876-5080,mboccella@valleyviewsd.org,,http://www.valleyviewsd.org,"1 Columbus Drive , Archbald, PA 18403",Local,School District,Lackawanna,Archbald Boro,Valley View School District,c:\Users\myles\OneDrive\Floppy Disc Photos 2019\Documents\RTK-Project\SchoolRTK\RTK_3378_Valley_View_School_District.pdf
3251,3379.0,https://www.openrecords.pa.gov/RTKL/AOROInfo.cfm?id=3379,Cocalico School District,Lancaster,Dr. Ella H. Musser,717-336-1413,righttoknow@cocalico.org,,http://www.cocalico.org,"800 4th Street , Denver, PA 17517",Local,School District,Lancaster,,,c:\Users\myles\OneDrive\Floppy Disc Photos 2019\Documents\RTK-Project\SchoolRTK\RTK_3379_Cocalico_School_District.pdf
3252,3380.0,https://www.openrecords.pa.gov/RTKL/AOROInfo.cfm?id=3380,Columbia Borough School District,Lancaster,"Keith D. Ramsey, Chief of Finance and Operations",717-684-2283,openrecords@columbiabsd.org,openrecords@columbiabsd.org,http://www.columbiabsd.org,"200 North Fifth Street , Columbia, PA 17512",Local,School District,Lancaster,Columbia Boro,Columbia Borough School District,c:\Users\myles\OneDrive\Floppy Disc Photos 2019\Documents\RTK-Project\SchoolRTK\RTK_3380_Columbia_Borough_School_District.pdf
3253,3381.0,https://www.openrecords.pa.gov/RTKL/AOROInfo.cfm?id=3381,Conestoga Valley School District,Lancaster,Dave Zuilkoski,717-399-1542,Dave_Zuilkoski@conestogavalley.org,,http://www.conestogavalley.org,"2110 Horseshoe Road , Lancaster, PA 17601",Local,School District,Lancaster,Conestoga Twp,Conestoga Valley School District,c:\Users\myles\OneDrive\Floppy Disc Photos 2019\Documents\RTK-Project\SchoolRTK\RTK_3381_Conestoga_Valley_School_District.pdf
3254,3382.0,https://www.openrecords.pa.gov/RTKL/AOROInfo.cfm?id=3382,Donegal School District,Lancaster,Michelle Kendig,717-653-1447,openrecordsoffice@donegalsd.org,,http://www.donegalsd.org,"1051 Koser Road , Mount Joy, PA 17552",Local,School District,Lancaster,East Donegal Twp,Donegal School District,c:\Users\myles\OneDrive\Floppy Disc Photos 2019\Documents\RTK-Project\SchoolRTK\RTK_3382_Donegal_School_District.pdf
3255,3383.0,https://www.openrecords.pa.gov/RTKL/AOROInfo.cfm?id=3383,Eastern Lancaster County School District,Lancaster,Keith D. Ramsey,717-354-1507,keith_ramsey@elanco.org,openrecords@elanco.org,http://www.elanco.org,"669 East Main Street , New Holland, PA 17557",Local,School District,Lancaster,New Holland Boro,Eastern Lancaster County School District,c:\Users\myles\OneDrive\Floppy Disc Photos 2019\Documents\RTK-Project\SchoolRTK\RTK_3383_Eastern_Lancaster_County_School_District.pdf
3256,3384.0,https://www.openrecords.pa.gov/RTKL/AOROInfo.cfm?id=3384,Elizabethtown Area School District,Lancaster,Troy Portser,717-367-1521,troy_portser@etownschools.org,,http://www.etownschools.org,"600 East High Street , Elizabethtown, PA 17022",Local,School District,Lancaster,Elizabethtown Borough,Elizabethtown Area School District,c:\Users\myles\OneDrive\Floppy Disc Photos 2019\Documents\RTK-Project\SchoolRTK\RTK_3384_Elizabethtown_Area_School_District.pdf
3257,3385.0,https://www.openrecords.pa.gov/RTKL/AOROInfo.cfm?id=3385,Ephrata Area School District,Lancaster,Kristee Reichard,717-721-1513,openrecordsofficer@easdpa.org,,http://www.easdpa.org,"803 Oak Boulevard , Ephrata, PA 17522",Local,School District,Lancaster,Ephrata Boro,Ephrata Area School Dictrict,c:\Users\myles\OneDrive\Floppy Disc Photos 2019\Documents\RTK-Project\SchoolRTK\RTK_3385_Ephrata_Area_School_District.pdf
3258,3386.0,https://www.openrecords.pa.gov/RTKL/AOROInfo.cfm?id=3386,Hempfield School District,Lancaster,Karen M Hall,717-898-5603,openrecords@hempfieldsd.org,,http://www.hempfieldsd.org,"200 Church Street , Landisville, PA 17538",Local,School District,Lancaster,East Hempfield Twp,Hempfield School District,c:\Users\myles\OneDrive\Floppy Disc Photos 2019\Documents\RTK-Project\SchoolRTK\RTK_3386_Hempfield_School_District.pdf
3260,3388.0,https://www.openrecords.pa.gov/RTKL/AOROInfo.cfm?id=3388,Lampeter-Strasburg School District,Lancaster,Dr. Kevin S. Peart,717-464-3311,Kevin_Peart@L-Spioneers.org,,http://www.l-spioneers.org,"PO Box 428,  1600 Book Road , Lancaster, PA 17537",Local,School District,Lancaster,,,c:\Users\myles\OneDrive\Floppy Disc Photos 2019\Documents\RTK-Project\SchoolRTK\RTK_3388_Lampeter-Strasburg_School_District.pdf
3263,3391.0,https://www.openrecords.pa.gov/RTKL/AOROInfo.cfm?id=3391,Lancaster School District,Lancaster,Matthew Przywara,717-291-6129,RightToKnow@lancaster.k12.pa.us,mrprzywara@lancaster.k12.pa.us,http://www.lancaster.k12.pa.us/,"251 South Prince Street , Lancaster, PA 17603",Local,School District,Lancaster,Lancaster City,Lancaster S D,c:\Users\myles\OneDrive\Floppy Disc Photos 2019\Documents\RTK-Project\SchoolRTK\RTK_3391_Lancaster_School_District.pdf
3264,3392.0,https://www.openrecords.pa.gov/RTKL/AOROInfo.cfm?id=3392,Manheim Central School District,Lancaster,Bryan K. Howett,717-664-8522,openrecords@manheimcentral.org,howettb@manheimcentral.org,http://www.manheimcentral.org,"281 White Oak Road , Manheim, PA 17545",Local,School District,Lancaster,,,c:\Users\myles\OneDrive\Floppy Disc Photos 2019\Documents\RTK-Project\SchoolRTK\RTK_3392_Manheim_Central_School_District.pdf
3265,3393.0,https://www.openrecords.pa.gov/RTKL/AOROInfo.cfm?id=3393,Manheim Township School District,Lancaster,Dr. Robin Felty,717-560-3110,feltyro@mtwp.net,davidsje@mtwp.net,http://www.mtwp.net,"450 A Candlewyck Road , PO Box 5134 , Lancaster, PA 17606",Local,School District,Lancaster,Manheim Twp,Manheim Township School District,c:\Users\myles\OneDrive\Floppy Disc Photos 2019\Documents\RTK-Project\SchoolRTK\RTK_3393_Manheim_Township_School_District.pdf
3266,3394.0,https://www.openrecords.pa.gov/RTKL/AOROInfo.cfm?id=3394,Penn Manor School District,Lancaster,Dr. Michael G. Leichliter,717-872-9500,rtk@pennmanor.net,,http://www.pennmanor.net,"PO Box 1001 , Millersville, PA 17551",Local,School District,Lancaster,,Penn Manor SD,c:\Users\myles\OneDrive\Floppy Disc Photos 2019\Documents\RTK-Project\SchoolRTK\RTK_3394_Penn_Manor_School_District.pdf
3267,3395.0,https://www.openrecords.pa.gov/RTKL/AOROInfo.cfm?id=3395,Pequea Valley School District,Lancaster,John Bowden,717-768-5530,john_bowden@pequeavalley.org,,http://www.pequeavalley.org,"166 S New Holland Rd , Kinzers, PA 17535",Local,School District,Lancaster,,,c:\Users\myles\OneDrive\Floppy Disc Photos 2019\Documents\RTK-Project\SchoolRTK\RTK_3395_Pequea_Valley_School_District.pdf
3268,3396.0,https://www.openrecords.pa.gov/RTKL/AOROInfo.cfm?id=3396,Solanco School District,Lancaster,Monica M. Miller,717-786-8401,monica_miller@solancosd.org,,http://www.solanco.org,"121 S Hess Street , Quarryville, PA 17566",Local,School District,Lancaster,Quarryville Boro,Solanco School District,c:\Users\myles\OneDrive\Floppy Disc Photos 2019\Documents\RTK-Project\SchoolRTK\RTK_3396_Solanco_School_District.pdf
3269,3397.0,https://www.openrecords.pa.gov/RTKL/AOROInfo.cfm?id=3397,Warwick School District,Lancaster,Nathan Wertsch,717-626-3734,righttoknow@warwicksd.org,,http://www.warwicksd.org,"301 West Orange Street , Lititz, PA 17543",Local,School District,Lancaster,Warwick Twp,Warwick School District,c:\Users\myles\OneDrive\Floppy Disc Photos 2019\Documents\RTK-Project\SchoolRTK\RTK_3397_Warwick_School_District.pdf
3270,3398.0,https://www.openrecords.pa.gov/RTKL/AOROInfo.cfm?id=3398,Ellwood City Area School District,Lawrence,Mary Ann Kosek,724-752-1591,mkosek@ellwood.k12.pa.us,,http://www.ellwood.k12.pa.us,"501 Crescent Avenue , Ellwood City, PA 16117",Local,School District,Lawrence,Ellwood City,Ellwood City A S D,c:\Users\myles\OneDrive\Floppy Disc Photos 2019\Documents\RTK-Project\SchoolRTK\RTK_3398_Ellwood_City_Area_School_District.pdf
3271,3399.0,https://www.openrecords.pa.gov/RTKL/AOROInfo.cfm?id=3399,Laurel School District,Lawrence,Mary Ann Kosek,724-658-8940,kosekma@laurel.k12.pa.us,,http://www.laurel.k12.pa.us,"2497 Harlansburg Road , New Castle, PA 16101",Local,School District,Lawrence,Hickory Twp,Laurel School District,c:\Users\myles\OneDrive\Floppy Disc Photos 2019\Documents\RTK-Project\SchoolRTK\RTK_3399_Laurel_School_District.pdf
3273,3401.0,https://www.openrecords.pa.gov/RTKL/AOROInfo.cfm?id=3401,Mohawk Area School District,Lawrence,,724-667-7723,keaton@mohawk.k12.pa.us,,http://www.mohawk.k12.pa.us,"Mohawk School Road , Bessemer, PA 16112",Local,School District,Lawrence,,,c:\Users\myles\OneDrive\Floppy Disc Photos 2019\Documents\RTK-Project\SchoolRTK\RTK_3401_Mohawk_Area_School_District.pdf
3274,3402.0,https://www.openrecords.pa.gov/RTKL/AOROInfo.cfm?id=3402,Neshannock Township School District,Lawrence,Dr. Terence P. Meehan,724-658-4793,tmeehan@ntsd.org,,http://www.ntsd.org,"3834 Mitchell Rd , New Castle, PA 16105",Local,School District,Lawrence,New Castle,,c:\Users\myles\OneDrive\Floppy Disc Photos 2019\Documents\RTK-Project\SchoolRTK\RTK_3402_Neshannock_Township_School_District.pdf
3275,3403.0,https://www.openrecords.pa.gov/RTKL/AOROInfo.cfm?id=3403,New Castle Area School District,Lawrence,,724-656-4756,ddeblasio@ncasd.com,,http://www.ncasd.com,"420 Fern St , New Castle, PA 16101",Local,School District,Lawrence,,,c:\Users\myles\OneDrive\Floppy Disc Photos 2019\Documents\RTK-Project\SchoolRTK\RTK_3403_New_Castle_Area_School_District.pdf
3276,3404.0,https://www.openrecords.pa.gov/RTKL/AOROInfo.cfm?id=3404,Shenango Area School District,Lawrence,Jennifer L. Haben,724-658-7287,j_haben@shenango.k12.pa.us,,http://www.shenango.k12.pa.us,"2501 Old Pittsburgh Road , New Castle, PA 16101",Local,School District,Lawrence,,,c:\Users\myles\OneDrive\Floppy Disc Photos 2019\Documents\RTK-Project\SchoolRTK\RTK_3404_Shenango_Area_School_District.pdf
3277,3405.0,https://www.openrecords.pa.gov/RTKL/AOROInfo.cfm?id=3405,Union Area School District,Lawrence,,724-658-4775,s_laverty@union.k12.pa.us,,http://www.union.k12.pa.us,"2106 Camden Avenue , New Castle, PA 16101",Local,School District,Lawrence,,,c:\Users\myles\OneDrive\Floppy Disc Photos 2019\Documents\RTK-Project\SchoolRTK\RTK_3405_Union_Area_School_District.pdf
3278,3406.0,https://www.openrecords.pa.gov/RTKL/AOROInfo.cfm?id=3406,Wilmington Area School District,Lawrence,Joshua Latore,724-656-8866,latore@wasd.school,,http://www.wilmington.k12.pa.us,"300 Wood Street , New Wilmington, PA 16142",Local,School District,Lawrence,New Wilmington Boro,Wilmington Area School District,c:\Users\myles\OneDrive\Floppy Disc Photos 2019\Documents\RTK-Project\SchoolRTK\RTK_3406_Wilmington_Area_School_District.pdf
3279,3407.0,https://www.openrecords.pa.gov/RTKL/AOROInfo.cfm?id=3407,Annville-Cleona School District,Lebanon,Elaine Mathias,717-867-7600,emathias@acschools.org,,http://www.acschools.org,"520 South White Oak Street , Annville, PA 17003",Local,School District,Lebanon,South Annville Twp,Annville-Cleona School District,c:\Users\myles\OneDrive\Floppy Disc Photos 2019\Documents\RTK-Project\SchoolRTK\RTK_3407_Annville-Cleona_School_District.pdf
3280,3408.0,https://www.openrecords.pa.gov/RTKL/AOROInfo.cfm?id=3408,Cornwall-Lebanon School District,Lebanon,Jean L. Hentz,717-272-2031,publicrecordsofficer@clsd.k12.pa.us,,http://www.clsd.k12.pa.us,"105 East Evergreen Road , Lebanon, PA 17042",Local,School District,Lebanon,South Lebanon Twp,Cornwall-Lebanon S D,c:\Users\myles\OneDrive\Floppy Disc Photos 2019\Documents\RTK-Project\SchoolRTK\RTK_3408_Cornwall-Lebanon_School_District.pdf
3281,3409.0,https://www.openrecords.pa.gov/RTKL/AOROInfo.cfm?id=3409,Eastern Lebanon County School District,Lebanon,Michael Miller,717-866-7117,rtk@elcosd.org,,http://www.elcosd.org,"180 ELCO Drive , Myerstown, PA 17067",Local,School District,Lebanon,Jackson Twp,Eastern Lebanon County School District,c:\Users\myles\OneDrive\Floppy Disc Photos 2019\Documents\RTK-Project\SchoolRTK\RTK_3409_Eastern_Lebanon_County_School_District.pdf
3283,3411.0,https://www.openrecords.pa.gov/RTKL/AOROInfo.cfm?id=3411,Lebanon School District,Lebanon,,717-270-6711,mharrell@lebanon.k12.pa.us,mharrell@lebanon.k12.pa.us,http://www.lebanon.k12.pa.us,"1000 South Eighth Street , Lebanon, PA 17042",Local,School District,Lebanon,,,c:\Users\myles\OneDrive\Floppy Disc Photos 2019\Documents\RTK-Project\SchoolRTK\RTK_3411_Lebanon_School_District.pdf
3284,3412.0,https://www.openrecords.pa.gov/RTKL/AOROInfo.cfm?id=3412,Northern Lebanon School District,Lebanon,Leanne S. Martin,717-865-2117,leannemartin@norleb.k12.pa.us,,http://www.norleb.org,"345 School Drive , Fredericksburg, PA 17026",Local,School District,Lebanon,,NORTHERN LEBANON S D,c:\Users\myles\OneDrive\Floppy Disc Photos 2019\Documents\RTK-Project\SchoolRTK\RTK_3412_Northern_Lebanon_School_District.pdf
3285,3413.0,https://www.openrecords.pa.gov/RTKL/AOROInfo.cfm?id=3413,Palmyra Area School District,Lebanon,Darcy Brenner-Smith,717-838-3144,rtk@pasd.us,,http://www.pasd.us,"1125 Park Drive , Palmyra, PA 17078",Local,School District,Lebanon,NORTH LONDONDERRY TWP,PALMYRA S D,c:\Users\myles\OneDrive\Floppy Disc Photos 2019\Documents\RTK-Project\SchoolRTK\RTK_3413_Palmyra_Area_School_District.pdf
3286,3414.0,https://www.openrecords.pa.gov/RTKL/AOROInfo.cfm?id=3414,Allentown City School District,Lehigh,Jennifer Ramos,484-765-4011,openrecords@allentownsd.org,,http://www.allentownsd.org/,"31 S. Penn Street , PO Box 328 , Allentown, PA 18105",Local,School District,Lehigh,Allentown City,Allentown City School District,c:\Users\myles\OneDrive\Floppy Disc Photos 2019\Documents\RTK-Project\SchoolRTK\RTK_3414_Allentown_City_School_District.pdf
3287,3415.0,https://www.openrecords.pa.gov/RTKL/AOROInfo.cfm?id=3415,Catasauqua Area School District,Lehigh,Robert J. Spengler,(610)264-5571 X 2,spenglerr@cattysd.org,,http://www.cattysd.org,"201 North 14th Street , Catasauqua, PA 18032",Local,School District,Lehigh,,,c:\Users\myles\OneDrive\Floppy Disc Photos 2019\Documents\RTK-Project\SchoolRTK\RTK_3415_Catasauqua_Area_School_District.pdf
3288,3416.0,https://www.openrecords.pa.gov/RTKL/AOROInfo.cfm?id=3416,East Penn School District,Lehigh,Janine L. Allen,610-966-8333,jallen@eastpennsd.org,,http://www.eastpennsd.org,"800 Pine Street , Emmaus, PA 18049",Local,School District,Lehigh,,EAST PENN S D,c:\Users\myles\OneDrive\Floppy Disc Photos 2019\Documents\RTK-Project\SchoolRTK\RTK_3416_East_Penn_School_District.pdf
3290,3418.0,https://www.openrecords.pa.gov/RTKL/AOROInfo.cfm?id=3418,Northern Lehigh School District,Lehigh,Matthew J. Link,610-767-9800,openrecords@nlsd.org,,http://www.nlsd.org,"1201 Shadow Oaks Ln , Slatington, PA 18080",Local,School District,Lehigh,,,c:\Users\myles\OneDrive\Floppy Disc Photos 2019\Documents\RTK-Project\SchoolRTK\RTK_3418_Northern_Lehigh_School_District.pdf
3291,3419.0,https://www.openrecords.pa.gov/RTKL/AOROInfo.cfm?id=3419,Northwestern Lehigh School District,Lehigh,"Troy Sosnovik, Ed.D.",610-298-8661,openrecordsnwlsd@nwlehighsd.org,,http://www.nwlehighsd.org,"6493 Route 309 , New Tripoli, PA 18066",Local,School District,Lehigh,Heidelberg Twp,Northwestern Lehigh School District,c:\Users\myles\OneDrive\Floppy Disc Photos 2019\Documents\RTK-Project\SchoolRTK\RTK_3419_Northwestern_Lehigh_School_District.pdf
3292,3420.0,https://www.openrecords.pa.gov/RTKL/AOROInfo.cfm?id=3420,Parkland School District,Lehigh,Leslie Frisbie,610-351-5510,frisbiel@parklandsd.org,openrecordspsd@parklandsd.org,http://www.parklandsd.org,"1210 Springhouse Road , Allentown, PA 18104",Local,School District,Lehigh,South Whitehall Twp,Parkland School District,c:\Users\myles\OneDrive\Floppy Disc Photos 2019\Documents\RTK-Project\SchoolRTK\RTK_3420_Parkland_School_District.pdf
3294,3422.0,https://www.openrecords.pa.gov/RTKL/AOROInfo.cfm?id=3422,Salisbury Township School District,Lehigh,Superintendent,610-797-2062,superintendent@salisburysd.org,,http://www.salisburysd.org,"1140 Salisbury Road , Allentown, PA 18103",Local,School District,Lehigh,,,c:\Users\myles\OneDrive\Floppy Disc Photos 2019\Documents\RTK-Project\SchoolRTK\RTK_3422_Salisbury_Township_School_District.pdf
3295,3423.0,https://www.openrecords.pa.gov/RTKL/AOROInfo.cfm?id=3423,Southern Lehigh School District,Lehigh,Anthony Pidgeon,610-282-1030,openrecordsofficer@slsd.org,,http://www.slsd.org,"5775 Main Street , Center Valley, PA 18034",Local,School District,Lehigh,Upper Saucon Twp,Southern Lehigh School District,c:\Users\myles\OneDrive\Floppy Disc Photos 2019\Documents\RTK-Project\SchoolRTK\RTK_3423_Southern_Lehigh_School_District.pdf
3296,3424.0,https://www.openrecords.pa.gov/RTKL/AOROInfo.cfm?id=3424,Whitehall-Coplay School District,Lehigh,Christopher A. Schiffert,610-439-1431,schiffertc@whitehallcoplay.org,,http://www.whitehallcoplay.org,"2940 MacArthur Road , Whitehall, PA 18052",Local,School District,Lehigh,Whitehall Twp,Whitehall-Coplay School District,c:\Users\myles\OneDrive\Floppy Disc Photos 2019\Documents\RTK-Project\SchoolRTK\RTK_3424_Whitehall-Coplay_School_District.pdf
